virus;virus_clean;matched_virus;taxonomic_level;family_clean;ncbi_id;family;subfamily;genus;ncbi_species
HTNV/SEOV/Eothenomys miletus hantavirus LX313;Orthohantavirus;Orthohantavirus luxiense;genus;Hantaviridae;3052484;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus luxiense
HTNV/SEOV/Eothenomys miletus hantavirus LX314;Orthohantavirus;Orthohantavirus hantanense;genus;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
HTNV/SEOV/Eothenomys miletus hantavirus LX314;Orthohantavirus;Orthohantavirus seoulense;genus;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
HTNV/SEOV/Eothenomys miletus hantavirus LX314;Orthohantavirus;Orthohantavirus luxiense;genus;Hantaviridae;3052484;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus luxiense
HTNV/SEOV/Eothenomys miletus hantavirus LX315;Orthohantavirus;Orthohantavirus hantanense;genus;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
HTNV/SEOV/Eothenomys miletus hantavirus LX315;Orthohantavirus;Orthohantavirus seoulense;genus;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
HTNV/SEOV/Eothenomys miletus hantavirus LX315;Orthohantavirus;Orthohantavirus luxiense;genus;Hantaviridae;3052484;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus luxiense
HTNV/SEOV/Eothenomys miletus hantavirus LX316;Orthohantavirus;Orthohantavirus hantanense;genus;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
HTNV/SEOV/Eothenomys miletus hantavirus LX316;Orthohantavirus;Orthohantavirus seoulense;genus;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
HTNV/SEOV/Eothenomys miletus hantavirus LX316;Orthohantavirus;Orthohantavirus luxiense;genus;Hantaviridae;3052484;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus luxiense
HTNV/SEOV/Eothenomys miletus hantavirus LX317;Orthohantavirus;Orthohantavirus hantanense;genus;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
