virus;virus_clean;matched_virus;taxonomic_level;family_clean;ncbi_id;family;subfamily;genus;ncbi_species
MOPV;Mammarenavirus mopeiaense;Mammarenavirus mopeiaense;species;Arenaviridae;3052320;Arenaviridae;NA;Mammarenavirus;Mammarenavirus mopeiaense
MPRV;Middle Pease River virus;Middle Pease River virus;species;Arenaviridae;1237118;Arenaviridae;NA;NA;Middle Pease River virus
Maciel hantavirus;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Maciel virus;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Malacky Virus;Malacky virus;Malacky virus;species;Peribunyaviridae;41403;Peribunyaviridae;NA;NA;Malacky virus
Mammarenavirus bearense;Mammarenavirus bearense;Mammarenavirus bearense;species;Arenaviridae;3052298;Arenaviridae;NA;Mammarenavirus;Mammarenavirus bearense
Mammarenavirus lunaense;Mammarenavirus lunaense;Mammarenavirus lunaense;species;Arenaviridae;3052315;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lunaense
Mammarenavirus lunkense;Mammarenavirus lunkense;Mammarenavirus lunkense;species;Arenaviridae;3052316;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lunkense
Mammarenavirus marientalense;Mammarenavirus marientalense;Mammarenavirus marientalense;species;Arenaviridae;3052318;Arenaviridae;NA;Mammarenavirus;Mammarenavirus marientalense
Mammarenavirus mopeiaense;Mammarenavirus mopeiaense;Mammarenavirus mopeiaense;species;Arenaviridae;3052320;Arenaviridae;NA;Mammarenavirus;Mammarenavirus mopeiaense
Mammarenavirus piritalense;Mammarenavirus piritalense;Mammarenavirus piritalense;species;Arenaviridae;3052324;Arenaviridae;NA;Mammarenavirus;Mammarenavirus piritalense
Mammarenavirus wenzhouense;Mammarenavirus piritalense;Mammarenavirus piritalense;species;Arenaviridae;3052324;Arenaviridae;NA;Mammarenavirus;Mammarenavirus piritalense
Maporal virus;Orthohantavirus maporalense;Orthohantavirus maporalense;species;Hantaviridae;3052485;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus maporalense
Mariental Virus/ Okahandja Virus;Mammarenavirus;Mammarenavirus marientalense;genus;Arenaviridae;3052318;Arenaviridae;NA;Mammarenavirus;Mammarenavirus marientalense
Mariental Virus/ Okahandja Virus;Mammarenavirus;Mammarenavirus okahandjaense;genus;Arenaviridae;3052321;Arenaviridae;NA;Mammarenavirus;Mammarenavirus okahandjaense
Maripa virus;Maripa virus;Maripa virus;species;Hantaviridae;654422;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus mamorense
Mayotte virus;Mayotte virus;Mayotte virus;species;Hantaviridae;NA;NA;NA;NA;NA
Merino Walk Virus;Mammarenavirus merinoense;Mammarenavirus merinoense;species;Arenaviridae;3052319;Arenaviridae;NA;Mammarenavirus;Mammarenavirus merinoense
Miletus Virus;Orthohantavirus luxiense;Orthohantavirus luxiense;species;Hantaviridae;3052484;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus luxiense
Monongahela Virus;Monongahela hantavirus;Monongahela hantavirus;species;Hantaviridae;2259728;Hantaviridae;Mammantavirinae;Orthohantavirus;Monongahela hantavirus
Mopei mammarenavirus;Mammarenavirus mopeiaense;Mammarenavirus mopeiaense;species;Arenaviridae;3052320;Arenaviridae;NA;Mammarenavirus;Mammarenavirus mopeiaense
Mopeia Virus;Mammarenavirus mopeiaense;Mammarenavirus mopeiaense;species;Arenaviridae;3052320;Arenaviridae;NA;Mammarenavirus;Mammarenavirus mopeiaense
Mopeia mammarenavirus;Mammarenavirus mopeiaense;Mammarenavirus mopeiaense;species;Arenaviridae;3052320;Arenaviridae;NA;Mammarenavirus;Mammarenavirus mopeiaense
Morogoro arenavirus;Morogoro mammarenavirus;Morogoro mammarenavirus;species;Arenaviridae;573900;Arenaviridae;NA;Mammarenavirus;Mammarenavirus mopeiaense
Morogoro virus;Morogoro mammarenavirus;Morogoro mammarenavirus;species;Arenaviridae;573900;Arenaviridae;NA;Mammarenavirus;Mammarenavirus mopeiaense
Muju Virus;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Muju virus;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Muleshoe Virus;Muleshoe hantavirus;Muleshoe hantavirus;species;Hantaviridae;47301;Hantaviridae;Mammantavirinae;Orthohantavirus;Muleshoe hantavirus
Necocli virus;Orthohantavirus necocliense;Orthohantavirus necocliense;species;Hantaviridae;3052488;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sp. 'necocliense'
New York Virus;Orthohantavirus sinnombreense;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Ngerengere mammarenavirus;Ngerengere mammarenavirus;Ngerengere mammarenavirus;species;Arenaviridae;3030863;Arenaviridae;NA;Mammarenavirus;Ngerengere mammarenavirus
North American arenavirus;Mammarenavirus whitewaterense;Mammarenavirus whitewaterense;species;Arenaviridae;3052331;Arenaviridae;NA;Mammarenavirus;Mammarenavirus whitewaterense
Nova Virus (NVAV);Mobatvirus novaense;Mobatvirus novaense;species;Hantaviridae;3052337;Hantaviridae;Mammantavirinae;Mobatvirus;Mobatvirus novaense
Oliveros Virus;Mammarenavirus oliverosense;Mammarenavirus oliverosense;species;Arenaviridae;3052322;Arenaviridae;NA;Mammarenavirus;Mammarenavirus oliverosense
Oran virus;Oran virus;Oran virus;species;Hantaviridae;69247;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Orthohantavirus andasense (Lechiguanas);Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Orthohantavirus andasense (Pergamino);Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Orthohantavirus andesense;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Orthohantavirus asikkalaense;Orthohantavirus asikkalaense;Orthohantavirus asikkalaense;species;Hantaviridae;1980458;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus asikkalaense
Orthohantavirus bayoui;Orthohantavirus bayoui;Orthohantavirus bayoui;species;Hantaviridae;3052470;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus bayoui
Orthohantavirus delgaditoense;Orthohantavirus delgaditoense;Orthohantavirus delgaditoense;species;Hantaviridae;3052476;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus delgaditoense
Orthohantavirus dobravaense;Orthohantavirus dobravaense;Orthohantavirus dobravaense;species;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
Orthohantavirus hantanense;Orthohantavirus hantanense;Orthohantavirus hantanense;species;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
Orthohantavirus kenkemeense;Orthohantavirus kenkemeense;Orthohantavirus kenkemeense;species;Hantaviridae;3052482;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus kenkemeense
Orthohantavirus khabarovskense;Orthohantavirus khabarovskense;Orthohantavirus khabarovskense;species;Hantaviridae;3052483;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus khabarovskense
Orthohantavirus moroense;Orthohantavirus moroense;Orthohantavirus moroense;species;Hantaviridae;3052487;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus carrizalense
Orthohantavirus negraense;Orthohantavirus negraense;Orthohantavirus negraense;species;Hantaviridae;3052489;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus mamorense
Orthohantavirus puumalaense;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Orthohantavirus rockportense;Orthohantavirus rockportense;Orthohantavirus rockportense;species;Hantaviridae;3052495;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus rockportense
Orthohantavirus sangassouense;Orthohantavirus sangassouense;Orthohantavirus sangassouense;species;Hantaviridae;3052496;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sangassouense
Orthohantavirus seewisense;Orthohantavirus seewisense;Orthohantavirus seewisense;species;Hantaviridae;2560748;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sp. 'seewisense'
Orthohantavirus seoulense;Orthohantavirus seoulense;Orthohantavirus seoulense;species;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
Orthohantavirus sinnombrense;Orthohantavirus sinnombreense;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
Orthohantavirus tatenalense;Orthohantavirus tatenalense;Orthohantavirus tatenalense;species;Hantaviridae;3052500;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tatenalense
Orthohantavirus tigrayense;Orthohantavirus tigrayense;Orthohantavirus tigrayense;species;Hantaviridae;3052502;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tigrayense
Orthohantavirus tulaense;Orthohantavirus tulaense;Orthohantavirus tulaense;species;Hantaviridae;3052503;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
Oxbow Hantavirus;Orthohantavirus oxbowense;Orthohantavirus oxbowense;species;Hantaviridae;3052491;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sp. 'oxbowense'
PUUV;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV (BAWA strain);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV (SOT strain);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV (VRA strain);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV+SEOV;Orthohantavirus;Orthohantavirus puumalaense;genus;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV+SEOV;Orthohantavirus;Orthohantavirus seoulense;genus;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
PUUV, TULV, SNV, ANDV;Orthohantavirus;Orthohantavirus puumalaense;genus;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV, TULV, SNV, ANDV;Orthohantavirus;Orthohantavirus tulaense;genus;Hantaviridae;3052503;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
PUUV, TULV, SNV, ANDV;Orthohantavirus;Orthohantavirus sinnombreense;genus;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
PUUV, TULV, SNV, ANDV;Orthohantavirus;Orthohantavirus andesense;genus;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
PUUV/DOBV;Orthohantavirus;Orthohantavirus puumalaense;genus;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV/DOBV;Orthohantavirus;Orthohantavirus dobravaense;genus;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
PUUV/HTNV;Orthohantavirus;Orthohantavirus puumalaense;genus;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV/HTNV;Orthohantavirus;Orthohantavirus hantanense;genus;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
PUUV/SAAV;Orthohantavirus;Orthohantavirus puumalaense;genus;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV/SAAV;Orthohantavirus;Orthohantavirus dobravaense;genus;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
PUUV/SNV;Orthohantavirus;Orthohantavirus puumalaense;genus;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV/SNV;Orthohantavirus;Orthohantavirus sinnombreense;genus;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
PUUV/TULV;Orthohantavirus;Orthohantavirus puumalaense;genus;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
PUUV/TULV;Orthohantavirus;Orthohantavirus tulaense;genus;Hantaviridae;3052503;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus tulaense
Patawa virus;Patawa virus;Patawa virus;species;Arenaviridae;1545496;Arenaviridae;NA;NA;Patawa virus
Pergamino Virus;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Pergamino virus;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
Pinhal virus;Pinhal virus;Pinhal virus;species;Arenaviridae;485722;Arenaviridae;NA;Arenavirus;Pinhal virus
Pirital Virus;Pirital virus;Pirital virus;species;Arenaviridae;3052324;Arenaviridae;NA;Mammarenavirus;Mammarenavirus piritalense
Pirital virus;Pirital virus;Pirital virus;species;Arenaviridae;3052324;Arenaviridae;NA;Mammarenavirus;Mammarenavirus piritalense
Prospect Hill Virus;Orthohantavirus prospectense;Orthohantavirus prospectense;species;Hantaviridae;3052492;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus prospectense
Prospect Hill Virus (PHV;Orthohantavirus prospectense;Orthohantavirus prospectense;species;Hantaviridae;3052492;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus prospectense
Puumala;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala (PUUV);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala Virus;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala hantavirus;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA3011KTF49);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA3028KTF66);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA3120KTF116);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA3122KTF118);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA4032KTF597);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA4277KTF-637);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA5171KTF862);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA5274KTF935);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA5277KTF945);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA6551KTF153);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (JA6557KTF159);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus (UA1818B74);Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala orthohantavirus Hokkaido strain;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala virus;Orthohantavirus puumalaense;Orthohantavirus puumalaense;species;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala virus/Saaremaa virus;Orthohantavirus;Orthohantavirus puumalaense;genus;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
Puumala virus/Saaremaa virus;Orthohantavirus;Orthohantavirus dobravaense;genus;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
Rat hepatitits E virus;Rocahepevirus ratti;Rocahepevirus ratti;species;Hepaviridae;1678145;Hepeviridae;Orthohepevirinae;Rocahepevirus;Rocahepevirus ratti
Rio Mamore Virus;Orthohantavirus mamorense;Orthohantavirus mamorense;species;Hantaviridae;3431295;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus mamorense
Rio Mamore hantavirus;Orthohantavirus mamorense;Orthohantavirus mamorense;species;Hantaviridae;3431295;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus mamorense
Rio Mamore virus;Orthohantavirus mamorense;Orthohantavirus mamorense;species;Hantaviridae;3431295;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus mamorense
RtAa-HV/SD2016;Orthohantavirus;RtAa-HV/SD2016;genus;Hantaviridae;NA;NA;NA;NA;NA
RtAp-HV/JL2014;Orthohantavirus;RtAp-HV/JL2014;genus;Hantaviridae;NA;NA;NA;NA;NA
RtCe-HV/NX2015;Orthohantavirus;RtCe-HV/NX2015;genus;Hantaviridae;NA;NA;NA;NA;NA
RtCl-HV/GZ2015;Orthohantavirus;RtCl-HV/GZ2015;genus;Hantaviridae;NA;NA;NA;NA;NA
RtDs-AreV/IM2014;Orthohantavirus;RtDs-AreV/IM2014;genus;Hantaviridae;NA;NA;NA;NA;NA
RtDs-HV/IM2014;Orthohantavirus;RtDs-HV/IM2014;genus;Hantaviridae;NA;NA;NA;NA;NA
RtMc-AreV/YN2014;Orthohantavirus;RtMc-AreV/YN2014;genus;Hantaviridae;NA;NA;NA;NA;NA
RtMg-HV/XJ2015;Orthohantavirus;RtMg-HV/XJ2015;genus;Hantaviridae;NA;NA;NA;NA;NA
RtMrut-HV/JL2014;Orthohantavirus;RtMrut-HV/JL2014;genus;Hantaviridae;NA;NA;NA;NA;NA
RtNn-HV/HuN2015;Orthohantavirus;RtNn-HV/HuN2015;genus;Hantaviridae;NA;NA;NA;NA;NA
RtNn-HV/NX2015;Orthohantavirus;RtNn-HV/NX2015;genus;Hantaviridae;NA;NA;NA;NA;NA
RtNn-HV/SAX2015;Orthohantavirus;RtNn-HV/SAX2015;genus;Hantaviridae;NA;NA;NA;NA;NA
RtRf-AreV/YN2014;Orthohantavirus;RtRf-AreV/YN2014;genus;Hantaviridae;NA;NA;NA;NA;NA
RtRl-AreV/HuN2015;Orthohantavirus;RtRl-AreV/HuN2015;genus;Hantaviridae;NA;NA;NA;NA;NA
RtRn-AreV/YN2014;Orthohantavirus;RtRn-AreV/YN2014;genus;Hantaviridae;NA;NA;NA;NA;NA
RtRn-AreV/ZJ2016;Orthohantavirus;RtRn-AreV/ZJ2016;genus;Hantaviridae;NA;NA;NA;NA;NA
RtRn-HV/GD2015;Orthohantavirus;RtRn-HV/GD2015;genus;Hantaviridae;NA;NA;NA;NA;NA
Rusne orthohantavirus;Rusne orthohantavirus;Rusne orthohantavirus;species;Hantaviridae;2771208;Hantaviridae;Mammantavirinae;Orthohantavirus;Rusne orthohantavirus
Río Mamoré virus;Orthohantavirus mamorense;Orthohantavirus mamorense;species;Hantaviridae;3431295;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus mamorense
SAAV;Orthohantavirus dobravaense;Orthohantavirus dobravaense;species;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
SEOV;Orthohantavirus seoulense;Orthohantavirus seoulense;species;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
SEOV (Tchoupitoulas Variant);Orthohantavirus seoulense;Orthohantavirus seoulense;species;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
SEOV/DOBV/PUUV;Orthohantavirus;Orthohantavirus seoulense;genus;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
SEOV/DOBV/PUUV;Orthohantavirus;Orthohantavirus dobravaense;genus;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
SEOV/DOBV/PUUV;Orthohantavirus;Orthohantavirus puumalaense;genus;Hantaviridae;3052493;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus puumalaense
SEOV/HTNV;Orthohantavirus;Orthohantavirus seoulense;genus;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
SEOV/HTNV;Orthohantavirus;Orthohantavirus hantanense;genus;Hantaviridae;3052480;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus hantanense
SNV;Orthohantavirus sinnombreense;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
SNV-Antigen;Orthohantavirus sinnombreense;Orthohantavirus sinnombreense;species;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
SNV/ELMCV/LCV/BCCV/NYV;Orthohantavirus;Orthohantavirus sinnombreense;genus;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
SNV/ELMCV/LCV/BCCV/NYV;Orthohantavirus;Orthohantavirus moroense;genus;Hantaviridae;3052487;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus carrizalense
SNV/ELMCV/LCV/BCCV/NYV;Orthohantavirus;Orthohantavirus montanoense;genus;Hantaviridae;3052486;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus montanoense
SNV/Hantavirus;Orthohantavirus;Orthohantavirus sinnombreense;genus;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
SNV/MTNV;Orthohantavirus;Orthohantavirus sinnombreense;genus;Hantaviridae;3052499;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense
SNV/MTNV;Orthohantavirus;Orthohantavirus montanoense;genus;Hantaviridae;3052486;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus montanoense
SOEV;Orthohantavirus seoulense;Orthohantavirus seoulense;species;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
SWSV;Orthohantavirus seewisense;Orthohantavirus seewisense;species;Hantaviridae;2560748;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sp. 'seewisense'
Saaremaa orthohantavirus;Orthohantavirus dobravaense;Orthohantavirus dobravaense;species;Hantaviridae;3052477;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense
Sangoussou virus;Orthohantavirus sangassouense;Orthohantavirus sangassouense;species;Hantaviridae;3052496;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sangassouense
Seewis Virus;Orthohantavirus seewisense;Orthohantavirus seewisense;species;Hantaviridae;2560748;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sp. 'seewisense'
Seewis orhtohantavirus;Orthohantavirus seewisense;Orthohantavirus seewisense;species;Hantaviridae;2560748;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sp. 'seewisense'
Seewis virus;Orthohantavirus seewisense;Orthohantavirus seewisense;species;Hantaviridae;2560748;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sp. 'seewisense'
Seoul Orthohantavirus;Orthohantavirus seoulense;Orthohantavirus seoulense;species;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
Seoul Virus (SEOV);Orthohantavirus seoulense;Orthohantavirus seoulense;species;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
Seoul hantavirus;Orthohantavirus seoulense;Orthohantavirus seoulense;species;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
Seoul orthohantavirus;Orthohantavirus seoulense;Orthohantavirus seoulense;species;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
Seoul virus;Orthohantavirus seoulense;Orthohantavirus seoulense;species;Hantaviridae;3052498;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense
Serang virus;Orthohantavirus thailandense;Orthohantavirus thailandense;species;Hantaviridae;3052501;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus thailandense
Shrew-HV/SX2014;Orthohantavirus;Shrew-HV/SX2014;genus;Hantaviridae;NA;NA;NA;NA;NA
Shrew-HV/Tibet2014;Orthohantavirus;Shrew-HV/Tibet2014;genus;Hantaviridae;NA;NA;NA;NA;NA
