taxid	name_txt	name_class	name_norm	sci_name	rank	lineage_taxids	lineage_names	lineage_ranks
3052319	Merino Walk mammarenavirus	synonym	merino walk mammarenavirus	Mammarenavirus merinoense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052319	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus merinoense	;;;;;;;;family;;species
2587488	Salmon pescarenavirus-2	synonym	salmon pescarenavirus-2	Salmon pescarenavirus 2	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;2560091;3051974;2587488	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Antennavirus;Antennavirus salmonis;Salmon pescarenavirus 2	;;;;;;;;family;;;no rank
11622	Lassa virus (strain Josiah)	synonym	lassa virus (strain josiah)	Lassa virus Josiah	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;2022411;3052310;11622	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;unclassified Mammarenavirus;Mammarenavirus lassaense;Lassa virus Josiah	;;;;;;;;family;;;;no rank
31614	Tacaribe virus (strain TRVL 11598)	synonym	tacaribe virus (strain trvl 11598)	Tacaribe virus strain TRVL 11598	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052328;31614	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus tacaribeense;Tacaribe virus strain TRVL 11598	;;;;;;;;family;;;no rank
1303019	Boa arenavirus NL	synonym	boa arenavirus nl	ROUT virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653395;3052727;1303019	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus;Reptarenavirus rotterdamense;ROUT virus	;;;;;;;;family;;;no rank
3052322	Oliveros virus	synonym	oliveros virus	Mammarenavirus oliverosense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052322	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus oliverosense	;;;;;;;;family;;species
2850049	Apore mammarenavirus	synonym	apore mammarenavirus	Apore virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052297;2850049	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus aporeense;Apore virus	;;;;;;;;family;;;no rank
3052298	Bear Canyon virus	synonym	bear canyon virus	Mammarenavirus bearense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052298	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus bearense	;;;;;;;;family;;species
1938701	Kuka mita haeh virus	synonym	kuka mita haeh virus	Kuka mitae haeh virus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653395;1654822;1938701	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Kuka mitae haeh virus	;;;;;;;;family;;;species
3052311	Latino arenavirus	synonym	latino arenavirus	Mammarenavirus latinum	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052311	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus latinum	;;;;;;;;family;;species
1938698	Gruetzi mitenant virus	synonym	gruetzi mitenant virus	Gruetzi mitenand virus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653395;1654822;1938698	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Gruetzi mitenand virus	;;;;;;;;family;;;species
3070199	Bitu mammarenavirus	synonym	bitu mammarenavirus	Bitu virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;2956183;3070199	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus bituense;Bitu virus	;;;;;;;;family;;;no rank
2847049	Andere Heimat virus-1	synonym	andere heimat virus-1	andere Heimat virus 1	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;2169607;3052216;2847049	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Hartmanivirus;Hartmanivirus patriae;andere Heimat virus 1	;;;;;;;;family;;;no rank
2447938	Tavallinen suomalainen mies virus-1	synonym	tavallinen suomalainen mies virus-1	Tavallinen suomalainen mies virus 1	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653395;1654822;2447938	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Tavallinen suomalainen mies virus 1	;;;;;;;;family;;;species
2447929	Suri Vanera virus-1	synonym	suri vanera virus-1	Suri Vanera virus 1	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653395;1654822;2447929	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Suri Vanera virus 1	;;;;;;;;family;;;species
2169991	Junin mammarenavirus	synonym	junin mammarenavirus	Mammarenavirus juninense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;2169991	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus juninense	;;;;;;;;family;;species
3052321	Okahandja mammarenavirus	synonym	okahandja mammarenavirus	Mammarenavirus okahandjaense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052321	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus okahandjaense	;;;;;;;;family;;species
3052319	Merino Walk virus	synonym	merino walk virus	Mammarenavirus merinoense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052319	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus merinoense	;;;;;;;;family;;species
2447936	S2-like virus	synonym	s2-like virus	S2-like reptarenavirus	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653395;1654822;2447936	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;S2-like reptarenavirus	;;;;;;;;family;;;species
3052311	Latino virus	synonym	latino virus	Mammarenavirus latinum	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052311	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus latinum	;;;;;;;;family;;species
3052321	Okahandja virus N73	synonym	okahandja virus n73	Mammarenavirus okahandjaense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052321	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus okahandjaense	;;;;;;;;family;;species
3052305	Flexal mammarenavirus	synonym	flexal mammarenavirus	Mammarenavirus flexalense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052305	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus flexalense	;;;;;;;;family;;species
3052321	Okahandja virus	synonym	okahandja virus	Mammarenavirus okahandjaense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052321	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus okahandjaense	;;;;;;;;family;;species
31615	Tacaribe virus (strain V5)	synonym	tacaribe virus (strain v5)	Tacaribe virus strain V5	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052328;31615	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus tacaribeense;Tacaribe virus strain V5	;;;;;;;;family;;;no rank
2905947	Parana arenavirus	synonym	parana arenavirus	Parana virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052323;2905947	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus paranaense;Parana virus	;;;;;;;;family;;;no rank
2447934	Peto jauhoksi virus-1	synonym	peto jauhoksi virus-1	Peto jauhoksi virus 1	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653395;1654822;2447934	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Peto jauhoksi virus 1	;;;;;;;;family;;;species
2447930	Tavallinen suomalainen mies virus-2	synonym	tavallinen suomalainen mies virus-2	tavallinen suomalainen mies virus 2	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653395;3052725;2447930	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus;Reptarenavirus commune;tavallinen suomalainen mies virus 2	;;;;;;;;family;;;no rank
3052302	Chapare virus	synonym	chapare virus	Mammarenavirus chapareense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052302	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus chapareense	;;;;;;;;family;;species
3052307	Guanarito arenavirus	synonym	guanarito arenavirus	Mammarenavirus guanaritoense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052307	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus guanaritoense	;;;;;;;;family;;species
2907957	Sabia arenavirus	synonym	sabia arenavirus	Sabia virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;3052299;2907957	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus brazilense;Sabia virus	;;;;;;;;family;;;no rank
144752	Allpahuayo virus	synonym	allpahuayo virus	Mammarenavirus allpahuayoense	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;144752	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus allpahuayoense	;;;;;;;;family;;species
3070923	Kwanza mammarenavirus	synonym	kwanza mammarenavirus	Kwanza virus	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653394;2956184;3070923	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Mammarenavirus;Mammarenavirus kwanzaense;Kwanza virus	;;;;;;;;family;;;no rank
2448017	Kuka mita hah virus-1	synonym	kuka mita hah virus-1	Kuka mita hah virus 1	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653395;1654822;2448017	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Kuka mita hah virus 1	;;;;;;;;family;;;species
2448018	Mista naita tulee virus-1	synonym	mista naita tulee virus-1	Mista naita tulee virus 1	species	1;10239;2559587;2732396;2497569;2497571;3151693;3151839;11617;1653395;1654822;2448018	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Mista naita tulee virus 1	;;;;;;;;family;;;species
