taxid	name_txt	name_class	name_norm	sci_name	rank	lineage_taxids	lineage_names	lineage_ranks
929043	Seoul virus HuBJ9	scientific name	seoul virus hubj9	Seoul virus HuBJ9	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;929043	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus HuBJ9	;;;;;;;;family;;;;no rank
929044	Seoul virus Rn-CP7	scientific name	seoul virus rn-cp7	Seoul virus Rn-CP7	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;929044	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus Rn-CP7	;;;;;;;;family;;;;no rank
929045	Seoul virus Rn-HD11	scientific name	seoul virus rn-hd11	Seoul virus Rn-HD11	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;929045	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus Rn-HD11	;;;;;;;;family;;;;no rank
929046	Seoul virus Rn-HD27	scientific name	seoul virus rn-hd27	Seoul virus Rn-HD27	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;929046	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus Rn-HD27	;;;;;;;;family;;;;no rank
929047	Seoul virus Rn-SHY17	scientific name	seoul virus rn-shy17	Seoul virus Rn-SHY17	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;929047	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus Rn-SHY17	;;;;;;;;family;;;;no rank
929048	Seoul virus Rn-YUE12	scientific name	seoul virus rn-yue12	Seoul virus Rn-YUE12	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;929048	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus Rn-YUE12	;;;;;;;;family;;;;no rank
929049	Seoul virus SD201	scientific name	seoul virus sd201	Seoul virus SD201	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;929049	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus SD201	;;;;;;;;family;;;;no rank
929050	Seoul virus SD5-153	scientific name	seoul virus sd5-153	Seoul virus SD5-153	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;929050	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus SD5-153	;;;;;;;;family;;;;no rank
993446	Seoul virus CSG5	scientific name	seoul virus csg5	Seoul virus CSG5	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993446	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus CSG5	;;;;;;;;family;;;;no rank
993447	Seoul virus CSG11	scientific name	seoul virus csg11	Seoul virus CSG11	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993447	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus CSG11	;;;;;;;;family;;;;no rank
993448	Seoul virus 19CSG	scientific name	seoul virus 19csg	Seoul virus 19CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993448	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 19CSG	;;;;;;;;family;;;;no rank
993449	Seoul virus CSG25	scientific name	seoul virus csg25	Seoul virus CSG25	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993449	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus CSG25	;;;;;;;;family;;;;no rank
993450	Seoul virus 33CSG	scientific name	seoul virus 33csg	Seoul virus 33CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993450	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 33CSG	;;;;;;;;family;;;;no rank
993451	Seoul virus 38CSG	scientific name	seoul virus 38csg	Seoul virus 38CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993451	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 38CSG	;;;;;;;;family;;;;no rank
993452	Seoul virus 42CSG	scientific name	seoul virus 42csg	Seoul virus 42CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993452	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 42CSG	;;;;;;;;family;;;;no rank
993453	Seoul virus 44CSG	scientific name	seoul virus 44csg	Seoul virus 44CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993453	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 44CSG	;;;;;;;;family;;;;no rank
993454	Seoul virus 51CSG	scientific name	seoul virus 51csg	Seoul virus 51CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993454	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 51CSG	;;;;;;;;family;;;;no rank
993455	Seoul virus 57CSG	scientific name	seoul virus 57csg	Seoul virus 57CSG	no rank	1;10239;2559587;2732396;2497569;2497571;3151693;3151837;1980413;2560074;1980442;3052498;993455	root;Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus seoulense;Seoul virus 57CSG	;;;;;;;;family;;;;no rank
