virus,clean_name,taxonomic_level,virus_1,virus_2,virus_3,virus_4,virus_5,virus_6,virus_7,virus_8,virus_9,virus_10,virus_11
HTNV/SEOV/Eothenomys miletus hantavirus LX311,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX312,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX313,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX314,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX315,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX316,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX317,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX318,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX319,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/Eothenomys miletus hantavirus LX320,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus luxiense,NA,NA,NA,NA,NA,NA,NA,NA
HTNV/SEOV/PUUV,Orthohantavirus,genus,Orthohantavirus hantanense,Orthohantavirus seoulense,Orthohantavirus puumalaense,NA,NA,NA,NA,NA,NA,NA,NA
Hainan Medical University Virus,Mammarenavirus wenzhouense,species,Mammarenavirus wenzhouense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan Virus,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan orthohantavirus,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan orthohantavirus (VN3973M589),Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan orthohantavirus (VN4004M620),Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan orthohantavirus Da Bie Shan strain,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaan virus,Orthohantavirus hantanense,species,Orthohantavirus hantanense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantaviridae,Hantaviridae,family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantavirus,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantavirus Antigen,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantavirus Oln6469,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hantavirus Oln6470,Orthohantavirus,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hokkaido Virus,Hokkaido virus,species,Hokkaido virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Imjin virus,Thottimvirus imjinense,species,Thottimvirus imjinense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isla Vista Virus,Isla Vista hantavirus,species,Isla Vista hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isla Vista virus,Isla Vista hantavirus,species,Isla Vista hantavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Itapua Strain SNV,Itapua hantavirus,species,Itapua hantavirus,Orthohantavirus sinnombrense,NA,NA,NA,NA,NA,NA,NA,NA,NA
JABV,Jabora virus,species,Jabora virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JMSV/AARV,Orthohantavirus,genus,Jemez Springs virus,Ash River virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUNV,Mammarenavirus juninense,species,Mammarenavirus juninense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUQV,Juquitiba virus,species,Juquitiba virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jabora Virus,Jabora virus,species,Jabora virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jabora virus,Jabora virus,species,Jabora virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jabora/Juquitiba virus,Orthohantavirus,genus,Jabora virus,Juquitiba virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaborá hantavirus,Jabora virus,species,Jabora virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeju Orthohantavirus,Orthohantavirus jejuense,species,Orthohantavirus jejuense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jilin-AP06 Virus,Orthohantavirus hantanense,species,Amur virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
