pathogen_record_id	associated_rodent_record_id	scientificName	assay	tested	positive
44121	35333		PCR	1	0
44122	35334		PCR	0	0
44123	35335		PCR	0	0
44124	35336		PCR	0	0
44125	35337		PCR	0	0
44126	35338		PCR	0	0
44127	35339		PCR	0	0
44128	35340		PCR	1	0
44129	35341		PCR	0	0
44130	35342		PCR	0	0
44131	35343		PCR	0	0
44132	35344		PCR	0	0
44133	35345		PCR	0	0
44134	35346		PCR	0	0
44135	35347		PCR	0	0
44136	35348		PCR	0	0
44137	35349		PCR	0	0
44138	35350		PCR	0	0
44139	35351		PCR	0	0
44140	35352		PCR	0	0
44141	35353		PCR	0	0
44142	35354		PCR	0	0
44143	35355		PCR	0	0
44144	35356		PCR	0	0
44145	35357		PCR	0	0
44146	35358		PCR	0	0
44147	35359		PCR	0	0
44148	35360		PCR	0	0
44149	35361		PCR	0	0
44150	35362		PCR	0	0
44151	35363		PCR	0	0
44152	35364		PCR	0	0
44153	35365		PCR	0	0
44154	35366		PCR	0	0
44155	35367		PCR	0	0
44156	35368		PCR	0	0
44157	35369		PCR	0	0
44158	35370		PCR	0	0
44159	35371		PCR	0	0
44160	35372		PCR	0	0
44161	35373		PCR	0	0
44162	35374		PCR	0	0
44163	35375		PCR	0	0
44164	35376		PCR	0	0
44165	35377		PCR	0	0
44166	35378		PCR	1	0
44167	35379		PCR	1	1
44168	35380		PCR	0	0
44169	35381		PCR	1	1
44170	35382		PCR	0	0
44171	35383		PCR	1	1
44172	35384		PCR	0	0
44173	35385		PCR	0	0
44174	35386		PCR	0	0
44175	35387		PCR	0	0
44176	35388		PCR	0	0
44177	35389		PCR	1	0
44178	35390		PCR	0	0
44179	35391		PCR	0	0
44180	35392		PCR	0	0
44181	35393		PCR	0	0
44182	35394		PCR	0	0
44183	35395		PCR	1	1
44184	35396		PCR	0	0
44185	35397		PCR	0	0
44186	35398		PCR	0	0
44187	35399		PCR	0	0
44188	35400		PCR	0	0
44189	35401		PCR	0	0
44190	35402		PCR	0	0
44191	35403		PCR	1	1
44192	35404		PCR	0	0
44193	35405		PCR	0	0
44194	35406		PCR	0	0
44195	35407		PCR	0	0
44196	35408		PCR	0	0
44197	35409		PCR	1	1
44198	35410		PCR	0	0
44199	35411		PCR	0	0
44200	35412		PCR	1	1
44201	35413		PCR	0	0
44202	35414		PCR	0	0
44203	35415		PCR	1	0
44204	35416		PCR	0	0
44205	35417		PCR	0	0
44206	35418		PCR	0	0
44207	35419		PCR	0	0
44208	35420		PCR	0	0
44209	35421		PCR	0	0
44210	35422		PCR	1	0
44211	35423		PCR	0	0
44212	35424		PCR	0	0
44213	35425		PCR	0	0
44214	35426		PCR	0	0
44215	35427		PCR	0	0
44216	35428		PCR	0	0
44217	35429		PCR	0	0
44218	35430		PCR	0	0
44219	35431		PCR	0	0
44220	35432		PCR	0	0
44221	35433		PCR	1	0
44222	35434		PCR	0	0
44223	35435		PCR	0	0
44224	35436		PCR	1	0
44225	35437		PCR	0	0
44226	35438		PCR	0	0
44227	35439		PCR	0	0
44228	35440		PCR	1	1
44229	35441		PCR	0	0
44230	35442		PCR	0	0
44231	35443		PCR	0	0
44232	35444		PCR	1	1
44233	35445		PCR	0	0
44234	35446		PCR	0	0
44235	35447		PCR	0	0
44236	35448		PCR	0	0
44237	35449		PCR	1	0
44238	35450		PCR	0	0
44239	35451		PCR	0	0
44240	35452		PCR	0	0
44241	35453		PCR	0	0
44242	35454		PCR	0	0
44243	35455		PCR	0	0
44244	35456		PCR	1	1
44245	35457		PCR	1	0
44246	35458		PCR	1	1
44247	35459		PCR	1	1
44248	35460		PCR	1	1
44249	35461		PCR	0	0
44250	35462		PCR	1	1
44251	35463		PCR	0	0
44252	35464		PCR	0	0
44253	35465		PCR	1	1
44254	35466		PCR	0	0
44255	35467		PCR	0	0
44256	35468		PCR	0	0
44257	35469		PCR	0	0
44258	35470		PCR	0	0
44259	35471		PCR	0	0
44260	35472		PCR	0	0
44261	35473		PCR	0	0
44262	35474		PCR	1	1
44263	35475		PCR	0	0
44264	35476		PCR	1	1
44265	35477		PCR	0	0
44266	35478		PCR	0	0
44267	35479		PCR	0	0
44268	35480		PCR	0	0
44269	35481		PCR	0	0
44270	35482		PCR	0	0
44271	35483		PCR	0	0
44272	35484		PCR	0	0
44273	35485		PCR	0	0
44274	35486		PCR	0	0
44275	35487		PCR	0	0
44276	35488		PCR	0	0
44277	35489		PCR	0	0
44278	35490		PCR	0	0
44279	35491		PCR	0	0
44280	35492		PCR	0	0
44281	35493		PCR	0	0
44282	35494		PCR	0	0
44283	35495		PCR	1	1
44284	35496		PCR	0	0
44285	35497		PCR	0	0
44286	35498		PCR	0	0
44287	35499		PCR	0	0
44288	35500		PCR	1	0
44289	35501		PCR	1	1
44290	35502		PCR	0	0
44291	35503		PCR	0	0
44292	35504		PCR	0	0
44293	35505		PCR	1	1
44294	35506		PCR	0	0
44295	35507		PCR	0	0
44296	35508		PCR	0	0
44297	35509		PCR	0	0
44298	35510		PCR	1	1
44299	35511		PCR	1	0
44300	35512		PCR	0	0
44301	35513		PCR	1	1
44302	35514		PCR	0	0
44303	35515		PCR	0	0
44304	35516		PCR	0	0
44305	35517		PCR	0	0
44306	35518		PCR	1	1
44307	35519		PCR	0	0
44308	35520		PCR	0	0
44309	35521		PCR	0	0
44310	35522		PCR	1	1
44311	35523		PCR	0	0
44312	35524		PCR	0	0
44313	35525		PCR	0	0
44314	35526		PCR	0	0
44315	35527		PCR	1	0
44316	35528		PCR	0	0
44317	35529		PCR	0	0
44318	35530		PCR	1	1
44319	35531		PCR	0	0
44320	35532		PCR	0	0
44321	35533		PCR	0	0
44322	35534		PCR	0	0
44323	35535		PCR	1	1
44324	35536		PCR	1	1
44325	35537		PCR	0	0
44326	35538		PCR	1	0
44327	35539		PCR	0	0
44328	35540		PCR	0	0
44329	35541		PCR	0	0
44330	35542		PCR	0	0
44331	35543		PCR	0	0
44332	35544		PCR	0	0
44333	35545		PCR	0	0
44334	35546		PCR	0	0
44335	35547		PCR	1	1
44336	35548		PCR	0	0
44337	35549		PCR	0	0
44338	35550		PCR	0	0
44339	35551		PCR	0	0
44340	35552		PCR	0	0
44341	35553		PCR	0	0
44342	35554		PCR	0	0
44343	35555		PCR	0	0
44344	35556		PCR	0	0
44345	35557		PCR	0	0
44346	35558		PCR	0	0
44347	35559		PCR	0	0
44348	35560		PCR	0	0
44349	35561		PCR	0	0
44350	35562		PCR	0	0
44351	35563		PCR	0	0
44352	35564		PCR	0	0
44353	35565		PCR	0	0
44354	35566		PCR	1	0
44355	35567		PCR	1	1
44356	35568		PCR	0	0
44357	35569		PCR	0	0
44358	35570		PCR	0	0
44359	35571		PCR	0	0
44360	35572		PCR	0	0
44361	35573		PCR	0	0
44362	35574		PCR	0	0
44363	35575		PCR	0	0
44364	35576		PCR	0	0
44365	35577		PCR	0	0
44366	35578		PCR	1	0
44367	35579		PCR	0	0
44368	35580		PCR	0	0
44369	35581		PCR	1	1
44370	35582		PCR	0	0
44371	35583		PCR	1	1
44372	35584		PCR	0	0
44373	35585		PCR	1	0
44374	35586		PCR	0	0
44375	35587		PCR	0	0
44376	35588		PCR	0	0
44377	35589		PCR	0	0
44378	35590		PCR	0	0
44379	35591		PCR	0	0
44380	35592		PCR	0	0
44381	35593		PCR	0	0
44382	35594		PCR	0	0
44383	35595		PCR	1	1
44384	35596		PCR	0	0
44385	35597		PCR	1	1
44386	35598		PCR	1	1
44387	35599		PCR	1	1
44388	35600		PCR	0	0
44389	35601		PCR	0	0
44390	35602		PCR	0	0
44391	35603		PCR	1	1
44392	35604		PCR	0	0
44393	35605		PCR	0	0
44394	35606		PCR	0	0
44395	35607		PCR	0	0
44396	35608		PCR	0	0
44397	35609		PCR	0	0
44398	35610		PCR	0	0
44399	35611		PCR	1	1
44400	35612		PCR	0	0
44401	35613		PCR	0	0
44402	35614		PCR	0	0
44403	35615		PCR	0	0
44404	35616		PCR	0	0
44405	35617		PCR	0	0
44406	35618		PCR	0	0
44407	35619		PCR	1	0
44408	35620		PCR	0	0
44409	35621		PCR	1	0
44410	35622		PCR	0	0
44411	35623		PCR	1	1
44412	35624		PCR	0	0
44413	35625		PCR	0	0
44414	35626		PCR	0	0
44415	35627		PCR	0	0
44416	35628		PCR	0	0
44417	35629		PCR	0	0
44418	35630		PCR	1	0
44419	35631		PCR	0	0
44420	35632		PCR	0	0
44421	35633		PCR	0	0
44422	35634		PCR	1	1
44423	35635		PCR	0	0
44424	35636		PCR	0	0
44425	35637		PCR	0	0
44426	35638		PCR	0	0
44427	35639		PCR	0	0
44428	35640		PCR	0	0
44429	35641		PCR	0	0
44430	35642		PCR	0	0
44431	35643		PCR	1	0
44432	35644		PCR	1	1
44433	35645		PCR	1	1
44434	35646		PCR	0	0
44435	35647		PCR	0	0
44436	35648		PCR	0	0
44437	35649		PCR	0	0
44438	35650		PCR	1	0
44439	35651		PCR	0	0
44440	35652		PCR	0	0
44441	35653		PCR	1	1
44442	35654		PCR	0	0
44443	35655		PCR	0	0
44444	35656		PCR	0	0
44445	35657		PCR	0	0
44446	35658		PCR	0	0
44447	35659		PCR	0	0
44448	35660		PCR	0	0
44449	35661		PCR	0	0
44450	35662		PCR	0	0
44451	35663		PCR	0	0
44452	35664		PCR	0	0
44453	35665		PCR	0	0
44454	35666		PCR	0	0
44455	35667		PCR	0	0
44456	35668		PCR	0	0
44457	35669		PCR	0	0
44458	35670		PCR	0	0
44459	35671		PCR	0	0
44460	35672		PCR	0	0
44461	35673		PCR	0	0
44462	35674		PCR	0	0
44463	35675		PCR	0	0
44464	35676		PCR	0	0
44465	35677		PCR	0	0
44466	35678		PCR	0	0
44467	35679		PCR	1	1
44468	35680		PCR	0	0
44469	35681		PCR	0	0
44470	35682		PCR	0	0
44471	35683		PCR	0	0
44472	35684		PCR	1	1
44473	35685		PCR	0	0
44474	35686		PCR	0	0
44475	35687		PCR	0	0
44476	35688		PCR	0	0
44477	35689		PCR	0	0
44478	35690		PCR	0	0
44479	35691		PCR	0	0
44480	35692		PCR	0	0
44481	35693		PCR	1	1
44482	35694		PCR	0	0
44483	35695		PCR	1	1
44484	35696		PCR	1	0
44485	35697		PCR	1	1
44486	35698		PCR	0	0
44487	35699		PCR	0	0
44488	35700		PCR	0	0
44489	35701		PCR	0	0
44490	35702		PCR	0	0
44491	35703		PCR	0	0
44492	35704		PCR	0	0
44493	35705		PCR	0	0
44494	35706		PCR	0	0
44495	35707		PCR	0	0
44496	35708		PCR	0	0
44497	35709		PCR	0	0
44498	35710		PCR	0	0
44499	35711		PCR	1	1
44500	35712		PCR	0	0
44501	35713		PCR	0	0
44502	35714		PCR	1	0
44503	35715		PCR	1	1
44504	35716		PCR	0	0
44505	35717		PCR	0	0
44506	35718		PCR	0	0
44507	35719		PCR	0	0
44508	35720		PCR	0	0
44509	35721		PCR	0	0
44510	35722		PCR	0	0
44511	35723		PCR	0	0
44512	35724		PCR	0	0
44513	35725		PCR	0	0
44514	35726		PCR	0	0
44515	35727		PCR	0	0
44516	35728		PCR	1	0
44517	35729		PCR	0	0
44518	35730		PCR	0	0
44519	35731		PCR	0	0
44520	35732		PCR	0	0
44521	35733		PCR	0	0
44522	35734		PCR	1	0
44523	35735		PCR	1	0
44524	35736		PCR	0	0
44525	35737		PCR	0	0
44526	35738		PCR	0	0
44527	35739		PCR	0	0
44528	35740		PCR	0	0
44529	35741		PCR	0	0
44530	35742		PCR	0	0
44531	35743		PCR	0	0
44532	35744		PCR	0	0
44533	35745		PCR	0	0
44534	35746		PCR	0	0
44535	35747		PCR	0	0
44536	35748		PCR	0	0
44537	35749		PCR	0	0
44538	35750		PCR	0	0
44539	35751		PCR	0	0
44540	35752		PCR	0	0
44541	35753		PCR	0	0
44542	35754		PCR	0	0
