year,season,species,site,locality,lat,lon,lt,st,tn,assay,pathogen,tested,positive
2010,autumn,Microtus arvalis,Billerbeck,3,51.993,7.316,2,0,294,ELISA,TULV,0,0
2011,spring,Microtus arvalis,Billerbeck,1,51.993,7.316,0,0,294,ELISA,TULV,0,0
2011,spring,Microtus arvalis,Billerbeck,2,51.993,7.316,1,0,294,ELISA,TULV,0,0
2011,spring,Microtus arvalis,Billerbeck,3,51.993,7.316,0,0,294,ELISA,TULV,1,0
2011,summer,Microtus arvalis,Billerbeck,1,51.993,7.316,0,0,294,ELISA,TULV,0,0
2011,summer,Microtus arvalis,Billerbeck,2,51.993,7.316,0,1,294,ELISA,TULV,0,0
2011,summer,Microtus arvalis,Billerbeck,3,51.993,7.316,0,0,294,ELISA,TULV,1,0
2011,autumn,Microtus arvalis,Billerbeck,1,51.993,7.316,3,1,294,ELISA,TULV,0,0
2011,autumn,Microtus arvalis,Billerbeck,2,51.993,7.316,5,4,294,ELISA,TULV,4,0
2011,autumn,Microtus arvalis,Billerbeck,3,51.993,7.316,0,0,294,ELISA,TULV,9,0
2012,spring,Microtus arvalis,Billerbeck,1,51.993,7.316,1,1,294,ELISA,TULV,2,0
2012,spring,Microtus arvalis,Billerbeck,2,51.993,7.316,0,0,294,ELISA,TULV,2,0
2012,spring,Microtus arvalis,Billerbeck,3,51.993,7.316,0,2,294,ELISA,TULV,0,0
2012,summer,Microtus arvalis,Billerbeck,1,51.993,7.316,0,0,294,ELISA,TULV,0,0
2012,summer,Microtus arvalis,Billerbeck,2,51.993,7.316,0,0,294,ELISA,TULV,0,0
2012,summer,Microtus arvalis,Billerbeck,3,51.993,7.316,0,0,294,ELISA,TULV,0,0
2010,spring,Microtus arvalis,Gotha,1,50.956,10.6521,1,0,294,ELISA,TULV,1,0
2010,spring,Microtus arvalis,Gotha,2,50.956,10.6521,0,2,294,ELISA,TULV,2,0
2010,spring,Microtus arvalis,Gotha,3,50.956,10.6521,8,1,294,ELISA,TULV,9,0
2010,summer,Microtus arvalis,Gotha,1,50.956,10.6521,18,0,294,ELISA,TULV,18,4
2010,summer,Microtus arvalis,Gotha,2,50.956,10.6521,25,2,294,ELISA,TULV,27,2
2010,summer,Microtus arvalis,Gotha,3,50.956,10.6521,19,1,294,ELISA,TULV,20,0
2010,autumn,Microtus arvalis,Gotha,1,50.956,10.6521,38,2,294,ELISA,TULV,35,2
2010,autumn,Microtus arvalis,Gotha,2,50.956,10.6521,43,12,294,ELISA,TULV,41,1
2010,autumn,Microtus arvalis,Gotha,3,50.956,10.6521,40,11,294,ELISA,TULV,49,7
2011,spring,Microtus arvalis,Gotha,1,50.956,10.6521,5,0,294,ELISA,TULV,6,2
2011,spring,Microtus arvalis,Gotha,2,50.956,10.6521,15,2,294,ELISA,TULV,16,1
2011,spring,Microtus arvalis,Gotha,3,50.956,10.6521,7,0,294,ELISA,TULV,7,0
2011,summer,Microtus arvalis,Gotha,1,50.956,10.6521,22,5,294,ELISA,TULV,24,0
2011,summer,Microtus arvalis,Gotha,2,50.956,10.6521,8,2,294,ELISA,TULV,11,0
2011,summer,Microtus arvalis,Gotha,3,50.956,10.6521,12,5,294,ELISA,TULV,14,0
2011,autumn,Microtus arvalis,Gotha,1,50.956,10.6521,28,6,294,ELISA,TULV,33,1
2011,autumn,Microtus arvalis,Gotha,2,50.956,10.6521,57,7,294,ELISA,TULV,60,3
2011,autumn,Microtus arvalis,Gotha,3,50.956,10.6521,29,8,294,ELISA,TULV,35,4
2012,spring,Microtus arvalis,Gotha,1,50.956,10.6521,16,2,294,ELISA,TULV,16,2
2012,spring,Microtus arvalis,Gotha,2,50.956,10.6521,0,0,294,ELISA,TULV,0,0
2012,spring,Microtus arvalis,Gotha,3,50.956,10.6521,6,2,294,ELISA,TULV,8,2
2012,summer,Microtus arvalis,Gotha,1,50.956,10.6521,33,0,294,ELISA,TULV,29,2
2012,summer,Microtus arvalis,Gotha,2,50.956,10.6521,12,3,294,ELISA,TULV,14,2
2012,summer,Microtus arvalis,Gotha,3,50.956,10.6521,36,4,294,ELISA,TULV,35,7
2012,autumn,Microtus arvalis,Gotha,1,50.956,10.6521,33,7,294,ELISA,TULV,30,0
2012,autumn,Microtus arvalis,Gotha,2,50.956,10.6521,0,0,294,ELISA,TULV,1,0
2012,autumn,Microtus arvalis,Gotha,3,50.956,10.6521,33,5,294,ELISA,TULV,27,2
2013,spring,Microtus arvalis,Gotha,1,50.956,10.6521,0,0,294,ELISA,TULV,0,0
2013,spring,Microtus arvalis,Gotha,2,50.956,10.6521,0,0,294,ELISA,TULV,0,0
2013,spring,Microtus arvalis,Gotha,3,50.956,10.6521,0,0,294,ELISA,TULV,0,0
2013,autumn,Microtus arvalis,Gotha,1,50.956,10.6521,1,0,294,ELISA,TULV,1,0
2013,autumn,Microtus arvalis,Gotha,2,50.956,10.6521,0,1,294,ELISA,TULV,1,0
2013,autumn,Microtus arvalis,Gotha,3,50.956,10.6521,3,1,294,ELISA,TULV,4,0
