event_date	scientificName	locality	country	verbatim_locality	individual_count	serostatus
2015-09	Myodes glareolus		Sweden	2 fire area	1	0
2007-06	Myodes glareolus		Sweden	3 fire area	1	0
2007-06	Myodes glareolus		Sweden	3 fire area	1	1
2007-06	Myodes glareolus		Sweden	3 fire area	1	0
2007-06	Myodes glareolus		Sweden	3 fire area	1	1
2007-06	Myodes glareolus		Sweden	3 fire area	1	0
2007-06	Myodes glareolus		Sweden	3 fire area	1	0
2007-06	Myodes glareolus		Sweden	3 fire area	1	1
2007-06	Myodes glareolus		Sweden	3 fire area	1	1
2007-06	Myodes glareolus		Sweden	3 fire area	1	0
2007-06	Myodes glareolus		Sweden	3 fire area	1	1
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	1
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2007-09	Myodes glareolus		Sweden	3 fire area	1	0
2008-06	Myodes glareolus		Sweden	3 fire area	1	0
2008-06	Myodes glareolus		Sweden	3 fire area	1	0
2009-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-06	Myodes glareolus		Sweden	3 fire area	1	1
2010-06	Myodes glareolus		Sweden	3 fire area	1	0
2010-06	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	1
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	1
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2010-09	Myodes glareolus		Sweden	3 fire area	1	1
2010-09	Myodes glareolus		Sweden	3 fire area	1	1
2010-09	Myodes glareolus		Sweden	3 fire area	1	0
2015-06	Myodes glareolus		Sweden	3 fire area	1	1
2015-06	Myodes glareolus		Sweden	3 fire area	1	1
2015-06	Myodes glareolus		Sweden	3 fire area	1	1
2015-06	Myodes glareolus		Sweden	3 fire area	1	1
2015-06	Myodes glareolus		Sweden	3 fire area	1	1
2015-06	Myodes glareolus		Sweden	3 fire area	1	1
2015-09	Myodes glareolus		Sweden	3 fire area	1	0
2015-09	Myodes glareolus		Sweden	3 fire area	1	0
2015-09	Myodes glareolus		Sweden	3 fire area	1	0
2015-09	Myodes glareolus		Sweden	3 fire area	1	1
2015-09	Myodes glareolus		Sweden	3 fire area	1	0
2015-09	Myodes glareolus		Sweden	3 fire area	1	1
2015-09	Myodes glareolus		Sweden	3 fire area	1	0
2015-09	Myodes glareolus		Sweden	3 fire area	1	0
2015-09	Myodes glareolus		Sweden	3 fire area	1	0
2015-09	Myodes glareolus		Sweden	3 fire area	1	1
2007-06	Myodes glareolus		Sweden	4 fire area	1	1
2007-06	Myodes glareolus		Sweden	4 fire area	1	1
2007-06	Myodes glareolus		Sweden	4 fire area	1	1
2007-09	Myodes glareolus		Sweden	4 fire area	1	0
2007-09	Myodes glareolus		Sweden	4 fire area	1	1
2007-09	Myodes glareolus		Sweden	4 fire area	1	0
2007-09	Myodes glareolus		Sweden	4 fire area	1	1
2007-09	Myodes glareolus		Sweden	4 fire area	1	0
2007-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-06	Myodes glareolus		Sweden	4 fire area	1	0
2010-06	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	0
2010-09	Myodes glareolus		Sweden	4 fire area	1	1
2015-06	Myodes glareolus		Sweden	4 fire area	1	1
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	1
2015-09	Myodes glareolus		Sweden	4 fire area	1	1
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2015-09	Myodes glareolus		Sweden	4 fire area	1	0
2007-06	Myodes glareolus		Sweden	5 fire area	1	1
2007-06	Myodes glareolus		Sweden	5 fire area	1	1
2007-09	Myodes glareolus		Sweden	5 fire area	1	0
2007-09	Myodes glareolus		Sweden	5 fire area	1	0
2007-09	Myodes glareolus		Sweden	5 fire area	1	1
2007-09	Myodes glareolus		Sweden	5 fire area	1	1
2010-06	Myodes glareolus		Sweden	5 fire area	1	0
2010-09	Myodes glareolus		Sweden	5 fire area	1	1
2010-09	Myodes glareolus		Sweden	5 fire area	1	1
2010-09	Myodes glareolus		Sweden	5 fire area	1	0
2010-09	Myodes glareolus		Sweden	5 fire area	1	0
2010-09	Myodes glareolus		Sweden	5 fire area	1	0
2010-09	Myodes glareolus		Sweden	5 fire area	1	0
2015-06	Myodes glareolus		Sweden	5 fire area	1	1
2015-06	Myodes glareolus		Sweden	5 fire area	1	1
2015-06	Myodes glareolus		Sweden	5 fire area	1	0
2015-09	Myodes glareolus		Sweden	5 fire area	1	0
2015-09	Myodes glareolus		Sweden	5 fire area	1	0
2015-09	Myodes glareolus		Sweden	5 fire area	1	0
2015-09	Myodes glareolus		Sweden	5 fire area	1	0
2015-09	Myodes glareolus		Sweden	5 fire area	1	1
2007-06	Myodes glareolus		Sweden	6 fire area	1	1
2007-06	Myodes glareolus		Sweden	6 fire area	1	1
2007-09	Myodes glareolus		Sweden	6 fire area	1	0
2007-09	Myodes glareolus		Sweden	6 fire area	1	0
2007-09	Myodes glareolus		Sweden	6 fire area	1	0
2009-06	Myodes glareolus		Sweden	6 fire area	1	0
2009-09	Myodes glareolus		Sweden	6 fire area	1	1
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2010-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-06	Myodes glareolus		Sweden	6 fire area	1	0
2015-06	Myodes glareolus		Sweden	6 fire area	1	0
2015-06	Myodes glareolus		Sweden	6 fire area	1	1
2015-06	Myodes glareolus		Sweden	6 fire area	1	1
2015-06	Myodes glareolus		Sweden	6 fire area	1	1
2015-06	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	1
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	1
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	1
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	1
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2015-09	Myodes glareolus		Sweden	6 fire area	1	0
2007-06	Myodes glareolus		Sweden	7 unburned forest	1	1
2007-06	Myodes glareolus		Sweden	7 unburned forest	1	1
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	1
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2008-06	Myodes glareolus		Sweden	7 unburned forest	1	0
2009-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2009-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-06	Myodes glareolus		Sweden	7 unburned forest	1	1
2010-06	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-06	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-06	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-06	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-06	Myodes glareolus		Sweden	7 unburned forest	1	1
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	1
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-06	Myodes glareolus		Sweden	7 unburned forest	1	1
2015-06	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	7 unburned forest	1	1
2007-06	Myodes glareolus		Sweden	8 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2009-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-06	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-06	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-06	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-06	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	1
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	1
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-06	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-06	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-06	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-06	Myodes glareolus		Sweden	8 unburned forest	1	1
2015-06	Myodes glareolus		Sweden	8 unburned forest	1	1
2015-06	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	8 unburned forest	1	0
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2007-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2008-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2008-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2008-06	Myodes glareolus		Sweden	9 unburned forest	1	0
2008-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2008-06	Myodes glareolus		Sweden	9 unburned forest	1	0
2008-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2008-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2009-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2010-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2010-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2010-06	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2010-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-06	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-06	Myodes glareolus		Sweden	9 unburned forest	1	1
2015-06	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	1
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
2015-09	Myodes glareolus		Sweden	9 unburned forest	1	0
