rodent_record_id	year	species	site	lat	lon	assay	pathogen	tested	positive
19362	2013-04	Microtus agrestis	Gotha	50.956	10.6521	ELISA	TULV	0	0
19363	2013-04	Microtus agrestis	Jeeser	54.1625	13.2591	ELISA	TULV	0	0
19364	2013-04	Microtus arvalis	Gotha	50.956	10.6521	ELISA	TULV	0	0
19365	2013-04	Microtus arvalis	Jeeser	54.1625	13.2591	ELISA	TULV	0	0
19366	2013-07	Microtus agrestis	Jeeser	54.1625	13.2591	ELISA	TULV	6	2
19367	2013-07	Microtus arvalis	Jeeser	54.1625	13.2591	ELISA	TULV	2	0
19368	2013-10	Microtus agrestis	Gotha	50.956	10.6521	ELISA	TULV	4	1
19369	2013-10	Microtus agrestis	Jeeser	54.1625	13.2591	ELISA	TULV	0	0
19370	2013-10	Microtus arvalis	Gotha	50.956	10.6521	ELISA	TULV	6	0
19371	2013-10	Microtus arvalis	Jeeser	54.1625	13.2591	ELISA	TULV	22	1
19292	2010-04	Microtus agrestis	Billerbeck	51.993	7.316	PCR	PUUV	0	0
19293	2010-04	Microtus agrestis	Gotha	50.956	10.6521	PCR	PUUV	0	0
19294	2010-04	Microtus agrestis	Jeeser	54.1625	13.2591	PCR	PUUV	1	0
19295	2010-04	Microtus agrestis	Weissach	48.8313	8.961	PCR	PUUV	4	0
19300	2010-07	Microtus agrestis	Billerbeck	51.993	7.316	PCR	PUUV	0	0
19301	2010-07	Microtus agrestis	Gotha	50.956	10.6521	PCR	PUUV	9	0
19302	2010-07	Microtus agrestis	Jeeser	54.1625	13.2591	PCR	PUUV	6	0
19303	2010-07	Microtus agrestis	Weissach	48.8313	8.961	PCR	PUUV	2	1
19308	2010-10	Microtus agrestis	Billerbeck	51.993	7.316	PCR	PUUV	0	0
19309	2010-10	Microtus agrestis	Gotha	50.956	10.6521	PCR	PUUV	12	0
19310	2010-10	Microtus agrestis	Jeeser	54.1625	13.2591	PCR	PUUV	1	0
19311	2010-10	Microtus agrestis	Weissach	48.8313	8.961	PCR	PUUV	0	0
19316	2011-04	Microtus agrestis	Billerbeck	51.993	7.316	PCR	PUUV	0	0
19317	2011-04	Microtus agrestis	Gotha	50.956	10.6521	PCR	PUUV	2	0
19318	2011-04	Microtus agrestis	Jeeser	54.1625	13.2591	PCR	PUUV	0	0
19319	2011-04	Microtus agrestis	Weissach	48.8313	8.961	PCR	PUUV	0	0
19324	2011-07	Microtus agrestis	Billerbeck	51.993	7.316	PCR	PUUV	0	0
19325	2011-07	Microtus agrestis	Gotha	50.956	10.6521	PCR	PUUV	9	0
19326	2011-07	Microtus agrestis	Jeeser	54.1625	13.2591	PCR	PUUV	0	0
19327	2011-07	Microtus agrestis	Weissach	48.8313	8.961	PCR	PUUV	1	0
19332	2011-10	Microtus agrestis	Billerbeck	51.993	7.316	PCR	PUUV	1	0
19333	2011-10	Microtus agrestis	Gotha	50.956	10.6521	PCR	PUUV	6	0
19334	2011-10	Microtus agrestis	Jeeser	54.1625	13.2591	PCR	PUUV	3	0
19335	2011-10	Microtus agrestis	Weissach	48.8313	8.961	PCR	PUUV	0	0
19340	2012-04	Microtus agrestis	Billerbeck	51.993	7.316	PCR	PUUV	0	0
19341	2012-04	Microtus agrestis	Gotha	50.956	10.6521	PCR	PUUV	0	0
19342	2012-04	Microtus agrestis	Jeeser	54.1625	13.2591	PCR	PUUV	0	0
19343	2012-04	Microtus agrestis	Weissach	48.8313	8.961	PCR	PUUV	0	0
