virus_clean,family,taxonomic_level,assay_clean,host_species,host_genus,host_family,host_order,n_assayed,n_positive,prop_pos
Orthohantavirus hantanense,Hantaviridae,species,Serology,Micromys minutus,Micromys,Muridae,Rodentia,4,1,0.25
Orthohantavirus hantanense,Hantaviridae,species,Serology,Mus musculus,Mus,Muridae,Rodentia,3,0,0
Orthohantavirus hantanense,Hantaviridae,species,Serology,Rattus norvegicus,Rattus,Muridae,Rodentia,11,0,0
Orthohantavirus hantanense,Hantaviridae,species,Serology,Rattus rattus,Rattus,Muridae,Rodentia,1,0,0
Orthohantavirus hantanense,Hantaviridae,species,Serology,Tscherskia triton,Tscherskia,Cricetidae,Rodentia,6,0,0
Orthohantavirus hantanense,Hantaviridae,species,Serology,Microtus fortis,Microtus,Cricetidae,Rodentia,2,0,0
Orthohantavirus hantanense,Hantaviridae,species,Serology,Myodes regulus,Myodes,Cricetidae,Rodentia,1,0,0
Orthohantavirus hantanense,Hantaviridae,species,Serology,Crocidura lasiura,Crocidura,Soricidae,Soricomorpha,56,0,0
Orthohantavirus seoulense,Hantaviridae,species,Serology,Rattus norvegicus,Rattus,Muridae,Rodentia,553,6,0.0108499095840868
Orthohantavirus seoulense,Hantaviridae,species,"PCR, culture or sequencing",Rattus rattus,Rattus,Muridae,Rodentia,30,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Grammomys buntingi,Grammomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,8,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Lemniscomys striatus,Lemniscomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,41,1,0.024390243902439025
Mammarenavirus lassaense,Arenaviridae,species,Serology,Malacomys edwardsi,Malacomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys erythroleucus,Mastomys,Muridae,Rodentia,4,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys natalensis,Mastomys,Muridae,Rodentia,60,5,0.08333333333333333
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mus minutoides,Mus,Muridae,Rodentia,4,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mus setulosus,Mus,Muridae,Rodentia,7,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Praomys rostratus,Praomys,Muridae,Rodentia,44,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Rattus rattus,Rattus,Muridae,Rodentia,61,1,0.01639344262295082
Mammarenavirus lassaense,Arenaviridae,species,Serology,Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,5,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,14,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys erythroleucus,Mastomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys natalensis,Mastomys,Muridae,Rodentia,96,2,0.020833333333333332
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mus minutoides,Mus,Muridae,Rodentia,3,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mus setulosus,Mus,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Praomys rostratus,Praomys,Muridae,Rodentia,39,1,0.02564102564102564
Mammarenavirus lassaense,Arenaviridae,species,Serology,Rattus rattus,Rattus,Muridae,Rodentia,26,1,0.038461538461538464
Mammarenavirus lassaense,Arenaviridae,species,Serology,Dasymys rufulus,Dasymys,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Grammomys buntingi,Grammomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,33,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Malacomys edwardsi,Malacomys,Muridae,Rodentia,3,1,0.3333333333333333
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys erythroleucus,Mastomys,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys natalensis,Mastomys,Muridae,Rodentia,16,2,0.125
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mus minutoides,Mus,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mus setulosus,Mus,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Praomys rostratus,Praomys,Muridae,Rodentia,21,3,0.14285714285714285
Mammarenavirus lassaense,Arenaviridae,species,Serology,Rattus rattus,Rattus,Muridae,Rodentia,40,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Lemniscomys striatus,Lemniscomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,25,1,0.04
Mammarenavirus lassaense,Arenaviridae,species,Serology,Malacomys edwardsi,Malacomys,Muridae,Rodentia,4,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys erythroleucus,Mastomys,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys natalensis,Mastomys,Muridae,Rodentia,100,12,0.12
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mus minutoides,Mus,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mus setulosus,Mus,Muridae,Rodentia,3,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Praomys rostratus,Praomys,Muridae,Rodentia,102,1,0.00980392156862745
Mammarenavirus lassaense,Arenaviridae,species,Serology,Rattus rattus,Rattus,Muridae,Rodentia,58,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Dasymys rufulus,Dasymys,Muridae,Rodentia,4,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Lemniscomys striatus,Lemniscomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,31,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Malacomys edwardsi,Malacomys,Muridae,Rodentia,6,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys erythroleucus,Mastomys,Muridae,Rodentia,3,2,0.6666666666666666
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys natalensis,Mastomys,Muridae,Rodentia,34,3,0.08823529411764706
Mammarenavirus lassaense,Arenaviridae,species,Serology,Praomys rostratus,Praomys,Muridae,Rodentia,48,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Rattus rattus,Rattus,Muridae,Rodentia,42,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Uranomys ruddi,Uranomys,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Dasymys rufulus,Dasymys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,6,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Lemniscomys striatus,Lemniscomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,30,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Malacomys edwardsi,Malacomys,Muridae,Rodentia,9,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys erythroleucus,Mastomys,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mastomys natalensis,Mastomys,Muridae,Rodentia,51,5,0.09803921568627451
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mus minutoides,Mus,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Mus setulosus,Mus,Muridae,Rodentia,11,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Praomys rostratus,Praomys,Muridae,Rodentia,92,0,0
Mammarenavirus lassaense,Arenaviridae,species,Serology,Rattus rattus,Rattus,Muridae,Rodentia,32,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Grammomys buntingi,Grammomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,8,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Lemniscomys striatus,Lemniscomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,41,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Malacomys edwardsi,Malacomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys erythroleucus,Mastomys,Muridae,Rodentia,4,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys natalensis,Mastomys,Muridae,Rodentia,60,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mus minutoides,Mus,Muridae,Rodentia,4,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mus setulosus,Mus,Muridae,Rodentia,7,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Praomys rostratus,Praomys,Muridae,Rodentia,44,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Rattus rattus,Rattus,Muridae,Rodentia,61,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,5,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,14,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys erythroleucus,Mastomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys natalensis,Mastomys,Muridae,Rodentia,96,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mus minutoides,Mus,Muridae,Rodentia,3,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mus setulosus,Mus,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Praomys rostratus,Praomys,Muridae,Rodentia,39,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Rattus rattus,Rattus,Muridae,Rodentia,26,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Dasymys rufulus,Dasymys,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Grammomys buntingi,Grammomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,33,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Malacomys edwardsi,Malacomys,Muridae,Rodentia,3,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys erythroleucus,Mastomys,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys natalensis,Mastomys,Muridae,Rodentia,16,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mus minutoides,Mus,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mus setulosus,Mus,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Praomys rostratus,Praomys,Muridae,Rodentia,21,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Rattus rattus,Rattus,Muridae,Rodentia,40,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Hylomyscus alleni,Hylomyscus,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Lemniscomys striatus,Lemniscomys,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,25,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Malacomys edwardsi,Malacomys,Muridae,Rodentia,4,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys erythroleucus,Mastomys,Muridae,Rodentia,2,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mastomys natalensis,Mastomys,Muridae,Rodentia,100,1,0.01
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mus minutoides,Mus,Muridae,Rodentia,1,0,0
Mammarenavirus lassaense,Arenaviridae,species,"PCR, culture or sequencing",Mus setulosus,Mus,Muridae,Rodentia,3,0,0
