virus_clean,family,taxonomic_level,assay_clean,host_species,host_genus,host_family,host_order,n_assayed,n_positive,prop_pos
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,1,0.125
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,10,1,0.1
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,3,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,3,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,4,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,3,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,5,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,5,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,2,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,1,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,2,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,6,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,13,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,12,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,14,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,11,3,0.2727272727272727
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,14,2,0.14285714285714285
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,15,3,0.2
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,19,6,0.3157894736842105
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,19,5,0.2631578947368421
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,37,8,0.21621621621621623
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,30,10,0.3333333333333333
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,29,13,0.4482758620689655
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,21,12,0.5714285714285714
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,18,9,0.5
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,19,9,0.47368421052631576
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,15,4,0.26666666666666666
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,16,6,0.375
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,6,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,35,5,0.14285714285714285
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,33,4,0.12121212121212122
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,15,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,9,1,0.1111111111111111
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,5,2,0.4
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,2,1,0.5
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,11,1,0.09090909090909091
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,24,2,0.08333333333333333
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,18,2,0.1111111111111111
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,11,1,0.09090909090909091
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,24,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,13,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,12,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,3,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,2,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,9,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,10,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,7,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,11,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,18,1,0.05555555555555555
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,17,3,0.17647058823529413
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,33,5,0.15151515151515152
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,22,4,0.18181818181818182
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,20,5,0.25
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,18,8,0.4444444444444444
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,46,8,0.17391304347826086
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,58,10,0.1724137931034483
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,82,15,0.18292682926829268
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,2,0.25
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,13,3,0.23076923076923078
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,19,2,0.10526315789473684
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,11,1,0.09090909090909091
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,9,1,0.1111111111111111
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,3,1,0.3333333333333333
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,4,1,0.25
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,16,2,0.125
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,29,4,0.13793103448275862
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,25,1,0.04
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,17,1,0.058823529411764705
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,13,3,0.23076923076923078
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,10,3,0.3
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,11,2,0.18181818181818182
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,13,6,0.46153846153846156
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,21,4,0.19047619047619047
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,7,3,0.42857142857142855
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,4,1,0.25
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,10,1,0.1
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,31,4,0.12903225806451613
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,65,2,0.03076923076923077
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,71,6,0.08450704225352113
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,52,18,0.34615384615384615
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,49,13,0.2653061224489796
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,67,14,0.208955223880597
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,115,28,0.24347826086956523
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,91,25,0.27472527472527475
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,31,15,0.4838709677419355
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,44,15,0.3409090909090909
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,53,14,0.2641509433962264
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,60,15,0.25
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,35,10,0.2857142857142857
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,33,8,0.24242424242424243
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,45,12,0.26666666666666666
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,76,11,0.14473684210526316
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,23,8,0.34782608695652173
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,15,5,0.3333333333333333
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,24,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,24,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,7,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,7,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,13,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,14,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,20,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,17,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,7,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,14,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,11,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,22,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,21,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,14,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,6,1,0.16666666666666666
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,3,0.375
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,15,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,20,4,0.2
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,14,3,0.21428571428571427
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,25,6,0.24
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,25,8,0.32
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,28,8,0.2857142857142857
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,39,9,0.23076923076923078
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,33,12,0.36363636363636365
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,39,18,0.46153846153846156
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,42,14,0.3333333333333333
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,65,19,0.2923076923076923
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,59,13,0.22033898305084745
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,72,19,0.2638888888888889
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,30,3,0.1
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,15,4,0.26666666666666666
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,21,4,0.19047619047619047
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,31,1,0.03225806451612903
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,16,1,0.0625
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,7,2,0.2857142857142857
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,7,1,0.14285714285714285
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,17,1,0.058823529411764705
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,23,6,0.2608695652173913
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,29,5,0.1724137931034483
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,19,4,0.21052631578947367
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,22,6,0.2727272727272727
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,23,8,0.34782608695652173
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,18,4,0.2222222222222222
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,19,3,0.15789473684210525
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,20,3,0.15
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,10,2,0.2
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,5,2,0.4
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,11,2,0.18181818181818182
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,30,2,0.06666666666666667
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,52,4,0.07692307692307693
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,67,5,0.07462686567164178
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,32,12,0.375
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,50,24,0.48
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,69,22,0.3188405797101449
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,108,25,0.23148148148148148
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,94,22,0.23404255319148937
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,21,10,0.47619047619047616
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,30,11,0.36666666666666664
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,37,10,0.2702702702702703
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,59,12,0.2033898305084746
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,41,13,0.3170731707317073
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,61,20,0.32786885245901637
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,54,11,0.2037037037037037
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,61,8,0.13114754098360656
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,36,10,0.2777777777777778
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,9,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,12,1,0.08333333333333333
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,2,0.25
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,21,5,0.23809523809523808
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,35,7,0.2
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,47,2,0.0425531914893617
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,44,2,0.045454545454545456
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,27,5,0.18518518518518517
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,21,6,0.2857142857142857
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,18,3,0.16666666666666666
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,18,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,4,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,4,1,0.25
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,7,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,23,1,0.043478260869565216
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,30,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,30,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,32,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,23,2,0.08695652173913043
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,21,1,0.047619047619047616
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,8,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,13,3,0.23076923076923078
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,14,1,0.07142857142857142
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,9,2,0.2222222222222222
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,1,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,9,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,10,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,15,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,3,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,4,0,0
Orthohantavirus sinnombrense,Hantaviridae,species,Serology,Peromyscus maniculatus,Peromyscus,Cricetidae,Rodentia,2,0,0
