pathogen_record_id,associated_rodent_record_id,study_id,associatedTaxa,family,scientificName,assay,tested,positive,negative,number_inconclusive,note
29636,21443,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,30,0,30,NA,NA
29637,21444,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,5,0,5,NA,NA
29638,21445,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,0,1,NA,NA
29639,21446,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,10,0,10,NA,NA
29640,21447,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,19,0,19,NA,NA
29641,21448,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,20,0,20,NA,NA
29642,21449,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,17,0,17,NA,NA
29643,21450,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,11,0,11,NA,NA
29644,21451,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,19,0,19,NA,NA
29645,21452,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29646,21453,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29647,21454,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29648,21455,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29649,21456,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29650,21457,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29651,21458,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29652,21459,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29653,21460,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
29654,21461,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,NA,NA
